Propeties,Class,Class,Class,Disabled Access,Smoking,Area
702,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,7,,,b
703,Deluxe Twin,Deluxe Twin,7,,,c
704,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,7,,,a
706,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,7,,,b
708,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,7,,,c
710,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,7,,,a
712,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,7,,,b
714,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,7,,,c
715,Deluxe Twin,Deluxe Twin,7,TRUE,,a
716,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,7,,,b
717,Deluxe King,Deluxe King,7,,,c
718,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,7,,,a
719,Deluxe Twin,Deluxe Twin,7,,,b
720,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,7,,,c
721,Deluxe King,Deluxe King,7,,,a
722,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,7,,,b
723,Deluxe Twin,Deluxe Twin,7,,,c
724,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,7,,,a
725,Deluxe King,Deluxe King,7,,,b
726,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,7,,,c
727,Deluxe Twin,Deluxe Twin,7,,,a
728,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,7,,,b
729,Deluxe Twin,Deluxe Twin,7,,,c
801,Deluxe Twin,Deluxe Twin,8,TRUE,,a
802,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,8,,,b
803,Deluxe Twin,Deluxe Twin,8,,,c
804,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,8,,,a
806,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,8,,,b
808,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,8,,,c
810,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,8,,,a
812,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,8,,,b
814,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,8,,,c
815,Deluxe Twin,Deluxe Twin,8,,,a
816,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,8,,,b
817,Deluxe King,Deluxe King,8,,,c
818,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,8,,,a
819,Deluxe Twin,Deluxe Twin,8,,,b
820,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,8,,,c
821,Deluxe King,Deluxe King,8,,,a
822,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,8,,,b
823,Deluxe Twin,Deluxe Twin,8,,,c
824,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,8,,,a
825,Deluxe King,Deluxe King,8,TRUE,,b
826,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,8,TRUE,,c
827,Deluxe Twin,Deluxe Twin,8,TRUE,,a
828,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,8,,,b
829,Deluxe Twin,Deluxe Twin,8,,,c
901,Deluxe Twin,Deluxe Twin,9,,,a
902,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,9,,,b
903,Deluxe Twin,Deluxe Twin,9,,,c
904,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,9,,,a
906,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,9,,,b
908,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,9,,,c
910,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,9,,,a
912,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,9,,,b
914,One Bedrrom Suite Seaview,One Bedrrom Suite Seaview,9,,,c
915,Deluxe Twin,Deluxe Twin,9,,,a
917,Deluxe King,Deluxe King,9,,,b
918,One Bedrrom Suite Seaview,One Bedrrom Suite Seaview,9,,,c
919,Deluxe Twin,Deluxe Twin,9,,,a
921,Deluxe King,Deluxe King,9,,,b
922,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,9,TRUE,,c
923,Deluxe Twin,Deluxe Twin,9,TRUE,,a
924,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,9,TRUE,,b
925,Deluxe King,Deluxe King,9,,,c
926,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,9,,,a
927,Deluxe Twin,Deluxe Twin,9,,,b
928,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,9,,,c
929,Deluxe Twin,Deluxe Twin,9,,,a
1001,Deluxe King,Deluxe King,10,,,b
1002,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,10,,,c
1003,Deluxe Twin,Deluxe Twin,10,,,a
1004,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,10,,,b
1008,One Bedrrom Suite Seaview,One Bedrrom Suite Seaview,10,,,c
1010,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,10,TRUE,,a
1012,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,10,,,b
1014,One Bedrrom Suite Seaview,One Bedrrom Suite Seaview,10,,,c
1015,Deluxe Twin,Deluxe Twin,10,,,a
1017,Deluxe King,Deluxe King,10,,,b
1018,One Bedrrom Suite Seaview,One Bedrrom Suite Seaview,10,,,c
1019,Deluxe Twin,Deluxe Twin,10,,,a
1021,Deluxe King,Deluxe King,10,,,b
1022,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,10,,,c
1023,Deluxe Twin,Deluxe Twin,10,,,a
1024,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,10,,,b
1025,Deluxe King,Deluxe King,10,,,c
1026,One Bedrrom Suite Seaview,One Bedrrom Suite Seaview,10,,,a
1027,Deluxe King,Deluxe King,10,,,b
1029,Deluxe King,Deluxe King,10,TRUE,,c
2101,Deluxe Balcony Twin ,Deluxe Balcony Twin ,11,,,a
2102,Deluxe Balcony King ,Deluxe Balcony King ,11,,,b
2103,Deluxe Balcony Twin ,Deluxe Balcony Twin ,11,,,c
2104,Deluxe Balcony King ,Deluxe Balcony King ,11,,,a
2105,Deluxe Balcony King ,Deluxe Balcony King ,11,,TRUE,b
2106,Deluxe Balcony King ,Deluxe Balcony King ,11,,TRUE,c
2107,Deluxe Balcony Twin ,Deluxe Balcony Twin ,11,,TRUE,a
2108,Deluxe Balcony King ,Deluxe Balcony King ,11,,TRUE,b
2110,Family Suite Pool Access ,Family Suite Pool Access ,11,,TRUE,c
2111,Deluxe Pool Access Twin ,Deluxe Pool Access Twin ,11,,TRUE,a
2112,Deluxe Pool Access Twin ,Deluxe Pool Access Twin ,11,,TRUE,b
2114,Family Suite Pool Access ,Family Suite Pool Access ,11,,TRUE,c
2115,Deluxe Pool Access Twin ,Deluxe Pool Access Twin ,11,,TRUE,a
2116,Deluxe Pool Access King ,Deluxe Pool Access King ,11,,TRUE,b
2117,Deluxe Pool Access Twin ,Deluxe Pool Access Twin ,11,,TRUE,c
2118,Deluxe Pool Access King ,Deluxe Pool Access King ,11,,TRUE,a
2119,Deluxe Pool Access Twin ,Deluxe Pool Access Twin ,11,,TRUE,b
2120,Deluxe Pool Access King ,Deluxe Pool Access King ,11,,TRUE,c
2201,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,TRUE,a
2202,Deluxe Balcony King ,Deluxe Balcony King ,12,TRUE,TRUE,b
2203,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,TRUE,c
2204,Deluxe Balcony King ,Deluxe Balcony King ,12,,TRUE,a
2205,Deluxe Balcony King ,Deluxe Balcony King ,12,,TRUE,b
2206,Deluxe Balcony King ,Deluxe Balcony King ,12,,TRUE,c
2207,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,TRUE,a
2208,Deluxe Balcony King ,Deluxe Balcony King ,12,,TRUE,b
2210,Family Suite ,Family Suite ,12,,TRUE,c
2211,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,TRUE,a
2212,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,TRUE,b
2214,Family Suite ,Family Suite ,12,,TRUE,c
2215,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,TRUE,a
2216,Deluxe Balcony King ,Deluxe Balcony King ,12,,TRUE,b
2217,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,TRUE,c
2218,Deluxe Balcony King ,Deluxe Balcony King ,12,,TRUE,a
2219,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,TRUE,b
2220,Deluxe Balcony King ,Deluxe Balcony King ,12,,TRUE,c
2301,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,TRUE,a
2302,Deluxe Balcony King ,Deluxe Balcony King ,12,,TRUE,b
2303,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,TRUE,c
2304,Deluxe Balcony King ,Deluxe Balcony King ,12,,TRUE,a
2305,Deluxe Balcony King ,Deluxe Balcony King ,12,TRUE,TRUE,b
2306,Deluxe Balcony King ,Deluxe Balcony King ,12,,TRUE,c
2307,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,TRUE,a
2308,Deluxe Balcony King ,Deluxe Balcony King ,12,,TRUE,b
2309,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,TRUE,c
2310,Deluxe Balcony King ,Deluxe Balcony King ,12,,TRUE,a
2311,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,TRUE,b
2312,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,TRUE,c
2314,Deluxe Balcony King ,Deluxe Balcony King ,12,,TRUE,a
2315,Deluxe Balcony King ,Deluxe Balcony King ,12,,TRUE,b
2316,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,TRUE,c
2317,Deluxe Balcony King ,Deluxe Balcony King ,12,,TRUE,a
2318,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,TRUE,TRUE,b
2319,Deluxe Balcony King ,Deluxe Balcony King ,12,TRUE,TRUE,c
2320,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,TRUE,a
2321,Deluxe Balcony King ,Deluxe Balcony King ,12,,TRUE,b
3101,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,TRUE,c
3102,Deluxe Balcony King ,Deluxe Balcony King ,12,,TRUE,a
3103,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,TRUE,b
3104,Deluxe Balcony King ,Deluxe Balcony King ,12,TRUE,TRUE,c
3105,Deluxe Balcony King ,Deluxe Balcony King ,12,TRUE,TRUE,a
3106,Deluxe Balcony King ,Deluxe Balcony King ,12,,TRUE,b
3107,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,,c
3108,Deluxe Balcony King ,Deluxe Balcony King ,12,,,a
3110,Family Suite ,Family Suite ,12,,,b
3111,Deluxe Balcony Twin ,Deluxe Balcony Twin ,12,,,c
3112,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,,,a
3114,Family Suite ,Family Suite ,13,,,b
3115,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,TRUE,,c
3116,Deluxe Balcony King ,Deluxe Balcony King ,13,,,a
3117,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,,,b
3118,Deluxe Balcony King ,Deluxe Balcony King ,13,,,c
3119,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,TRUE,,a
3120,Deluxe Balcony King ,Deluxe Balcony King ,13,,,b
3201,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,,,c
3202,Deluxe Balcony King ,Deluxe Balcony King ,13,,,a
3203,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,,,b
3204,Deluxe Balcony King ,Deluxe Balcony King ,13,,,c
3205,Deluxe Balcony King ,Deluxe Balcony King ,13,,,a
3206,Deluxe Balcony King ,Deluxe Balcony King ,13,,,b
3207,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,,,c
3208,Deluxe Balcony King ,Deluxe Balcony King ,13,,,a
3210,Family Suite ,Family Suite ,13,,,b
3211,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,,,c
3212,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,,,a
3214,Family Suite ,Family Suite ,13,TRUE,,b
3215,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,TRUE,,c
3216,Deluxe Balcony King ,Deluxe Balcony King ,13,,,a
3217,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,,,b
3218,Deluxe Balcony King ,Deluxe Balcony King ,13,,,c
3219,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,,,a
3220,Deluxe Balcony King ,Deluxe Balcony King ,13,,,b
3301,Deluxe Balcony King ,Deluxe Balcony King ,13,,,c
3302,Deluxe Balcony King ,Deluxe Balcony King ,13,,,a
3303,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,,,b
3304,Deluxe Balcony King ,Deluxe Balcony King ,13,,,c
3305,Deluxe Balcony King ,Deluxe Balcony King ,13,,,a
3306,Deluxe Balcony King ,Deluxe Balcony King ,13,,,b
3307,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,,,c
3308,Deluxe Balcony King ,Deluxe Balcony King ,13,,,a
3310,Family Suite ,Family Suite ,13,,,b
3311,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,,,c
3312,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,,,a
3314,Deluxe Balcony King ,Deluxe Balcony King ,13,,,b
3315,Deluxe Balcony King ,Deluxe Balcony King ,13,,,c
3316,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,,,a
3317,Deluxe Balcony King ,Deluxe Balcony King ,13,,,b
3318,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,,,c
3319,Deluxe Balcony King ,Deluxe Balcony King ,13,,,a
3320,Deluxe Balcony Twin ,Deluxe Balcony Twin ,13,,,b
3321,Deluxe Balcony King ,Deluxe Balcony King ,13,TRUE,,c
2121,Pool Villa,Pool Villa,13,,,a
2122,Pool Villa,Pool Villa,13,,,b
2123,Pool Villa,Pool Villa,13,,,c
2124,Pool Villa,Pool Villa,13,,,a
3121,Pool Villa,Pool Villa,13,,,b
3122,Pool Villa,Pool Villa,13,,,c
2125,Beachfront Jacuzzi Villa ,Beachfront Jacuzzi Villa ,13,,,a
2126,Beachfront Pool Villa ,Beachfront Pool Villa ,13,,,b
